"state","fire_year","total_fires","stat_cause_descr"
"CO",2013,3894,"All"
"AR",2012,2351,"All"
"ME",2008,466,"All"
"ME",2006,623,"All"
"TN",2009,1477,"All"
"TN",2007,3393,"All"
"TN",2010,1904,"All"
"TN",2012,1203,"All"
"MT",2002,1597,"All"
"MT",2007,1997,"All"
"MT",2008,1532,"All"
"MT",2004,1503,"All"
"MT",2006,2460,"All"
"MT",1998,1909,"All"
"ID",1994,3336,"All"
"ID",2008,986,"All"
"ID",1999,1916,"All"
"ID",1993,698,"All"
"WA",2010,1048,"All"
"ID",2011,1318,"All"
"ID",2007,1589,"All"
"ID",1997,1130,"All"
"MT",1993,743,"All"
"MT",2014,1203,"All"
"MT",2005,1497,"All"
"MT",2009,1662,"All"
"MT",2003,2471,"All"
"MT",2013,1359,"All"
"MT",1994,2984,"All"
"MT",1996,1993,"All"
"MT",2010,1140,"All"
"MT",2011,1190,"All"
"MT",2000,2428,"All"
"MT",1992,1642,"All"
"MT",1999,2089,"All"
"ID",2014,1215,"All"
"ND",2004,819,"All"
"SD",2008,1190,"All"
"SD",1998,816,"All"
"SD",2011,1431,"All"
"SD",2012,2726,"All"
"SD",1992,554,"All"
"SD",2000,2271,"All"
"SD",2015,966,"All"
"WY",2012,1046,"All"
"SD",2007,1627,"All"
"SD",2010,698,"All"
"SD",2006,2646,"All"
"CO",1992,1322,"All"
"WY",2002,670,"All"
"WY",1995,530,"All"
"SD",1996,839,"All"
"CO",2011,957,"All"
"CO",1994,2515,"All"
"CO",2012,1106,"All"
"CO",2004,1310,"All"
"CO",1993,1244,"All"
"CO",2005,1875,"All"
"CO",1997,722,"All"
"CO",2009,952,"All"
"CO",1995,1517,"All"
"CO",2000,1619,"All"
"CO",2008,1015,"All"
"CO",2002,1221,"All"
"WY",2009,474,"All"
"WY",2008,449,"All"
"AZ",1992,3494,"All"
"AZ",2007,2443,"All"
"AZ",2004,2843,"All"
"AZ",2011,1912,"All"
"AZ",2000,3859,"All"
"AZ",2012,1760,"All"
"AZ",1998,2679,"All"
"AZ",2005,3690,"All"
"AZ",2003,2916,"All"
"AZ",1993,4639,"All"
"NM",2003,1969,"All"
"NM",2000,2794,"All"
"NM",2013,1078,"All"
"NM",2014,893,"All"
"NM",2012,1174,"All"
"NM",2002,2077,"All"
"NM",2004,1229,"All"
"NM",1993,1809,"All"
"NM",2007,1428,"All"
"NM",1992,977,"All"
"NM",2001,1701,"All"
"NM",2005,1582,"All"
"AZ",2001,3186,"All"
"AZ",2014,2828,"All"
"AZ",2002,2918,"All"
"AZ",2013,1665,"All"
"AZ",1997,2250,"All"
"AZ",2015,3819,"All"
"AZ",1995,4502,"All"
"AZ",2009,2333,"All"
"AZ",1999,2736,"All"
"AZ",1996,3761,"All"
"AZ",2006,3319,"All"
"NM",1994,2668,"All"
"NM",1995,1665,"All"
"NM",1997,1380,"All"
"NM",2010,1145,"All"
"NM",2009,1448,"All"
"NM",2006,1996,"All"
"AZ",2010,1617,"All"
"AZ",1994,4519,"All"
"AZ",2008,1898,"All"
"NM",1998,1294,"All"
"NM",2008,864,"All"
"NM",2015,778,"All"
"UT",2008,1062,"All"
"UT",2007,1548,"All"
"ID",2002,1511,"All"
"ID",2015,1277,"All"
"ID",2003,1657,"All"
"ID",2000,1749,"All"
"WY",2013,581,"All"
"UT",1999,1282,"All"
"UT",1997,862,"All"
"UT",2001,1775,"All"
"UT",1992,1092,"All"
"UT",2012,1592,"All"
"UT",1995,1151,"All"
"NV",1994,710,"All"
"UT",2009,1157,"All"
"ID",2012,1189,"All"
"ID",2006,1888,"All"
"ID",1996,1974,"All"
"ID",2004,1138,"All"
"ID",1995,1433,"All"
"WY",2000,571,"All"
"NV",1995,545,"All"
"NV",2012,838,"All"
"CA",1992,10833,"All"
"CA",2005,6678,"All"
"NV",2010,353,"All"
"NV",1993,443,"All"
"NV",2005,749,"All"
"CA",1995,7381,"All"
"NV",1992,556,"All"
"NV",1996,1088,"All"
"UT",1996,1666,"All"
"UT",1993,710,"All"
"UT",2000,1857,"All"
"UT",2006,1926,"All"
"UT",1994,1663,"All"
"UT",2005,1362,"All"
"CA",2000,6977,"All"
"CA",1997,7930,"All"
"CA",2012,7208,"All"
"CA",2008,7744,"All"
"CA",1999,8910,"All"
"CA",2006,8271,"All"
"CA",2010,5776,"All"
"CA",1996,9173,"All"
"CA",2002,7133,"All"
"CA",2007,10151,"All"
"CA",2011,8562,"All"
"CA",2003,7913,"All"
"CA",2014,6494,"All"
"CA",2004,7418,"All"
"CA",1993,8270,"All"
"CA",1994,8654,"All"
"CA",2013,8723,"All"
"CA",1998,6864,"All"
"CA",2001,8182,"All"
"CA",2015,7365,"All"
"CA",2009,6940,"All"
"OR",2010,1925,"All"
"OR",2001,3368,"All"
"OR",2014,3047,"All"
"OR",1992,3957,"All"
"OR",1995,2264,"All"
"OR",1998,2575,"All"
"OR",1996,2875,"All"
"OR",2011,1968,"All"
"OR",2009,2304,"All"
"OR",2006,3184,"All"
"OR",2000,1938,"All"
"OR",1999,2927,"All"
"OR",2008,2668,"All"
"OR",2013,2562,"All"
"OR",2004,2270,"All"
"OR",2007,2512,"All"
"OR",2012,1657,"All"
"WA",2009,2000,"All"
"WA",2008,1490,"All"
"OR",1997,2142,"All"
"OR",2003,2615,"All"
"OR",2015,2500,"All"
"WA",2001,1158,"All"
"OR",1993,1852,"All"
"OR",2005,1746,"All"
"OR",2002,2759,"All"
"WA",2015,1741,"All"
"WA",2011,1028,"All"
"WA",2002,1418,"All"
"WA",2003,1433,"All"
"WA",2005,1089,"All"
"WA",1993,986,"All"
"WA",2014,1567,"All"
"WA",1994,2022,"All"
"OR",1994,3473,"All"
"WA",1999,1475,"All"
"AL",2003,1824,"All"
"AL",2005,2547,"All"
"AL",2009,1372,"All"
"AL",1992,93,"All"
"AL",2006,3947,"All"
"AL",1994,3452,"All"
"AL",1995,4230,"All"
"AL",1998,3566,"All"
"AL",2000,6264,"All"
"AL",2008,2012,"All"
"AL",2011,2042,"All"
"AL",1993,137,"All"
"AL",2014,2418,"All"
"AL",2002,2926,"All"
"AL",1999,4501,"All"
"AL",2012,1747,"All"
"AL",2007,3833,"All"
"AL",1996,4048,"All"
"AL",2010,2913,"All"
"AL",2001,3309,"All"
"AL",2013,1670,"All"
"AL",1997,2591,"All"
"AL",2015,2074,"All"
"AL",2004,3054,"All"
"KY",2007,2081,"All"
"KY",2002,1050,"All"
"KY",2004,1238,"All"
"KY",2010,1913,"All"
"KY",1994,178,"All"
"KY",2009,1419,"All"
"KY",1995,180,"All"
"KY",1992,49,"All"
"KY",1993,81,"All"
"KY",2001,2061,"All"
"KY",2014,1446,"All"
"KY",1999,1879,"All"
"KY",2013,1003,"All"
"KY",2011,1032,"All"
"KY",1998,957,"All"
"KY",2008,1563,"All"
"KY",2000,1587,"All"
"KY",2012,1263,"All"
"KY",1996,72,"All"
"KY",2003,956,"All"
"KY",2005,1766,"All"
"KY",2006,1884,"All"
"KY",1997,675,"All"
"KY",2015,756,"All"
"GA",1994,6584,"All"
"GA",1993,9111,"All"
"GA",2006,8925,"All"
"GA",1992,6459,"All"
"GA",2002,7804,"All"
"GA",2007,8717,"All"
"GA",2005,6049,"All"
"GA",2001,9572,"All"
"GA",1997,7234,"All"
"GA",2003,4567,"All"
"GA",1998,7301,"All"
"GA",1996,9872,"All"
"GA",1999,11138,"All"
"GA",2000,10549,"All"
"GA",2009,4176,"All"
"GA",1995,7968,"All"
"GA",2014,4063,"All"
"GA",2004,8127,"All"
"GA",2008,5807,"All"
"GA",2010,5874,"All"
"TN",2002,1485,"All"
"TN",1999,3454,"All"
"TN",2006,2183,"All"
"TN",2001,2521,"All"
"TN",1995,106,"All"
"TN",2011,1195,"All"
"TN",2004,69,"All"
"TN",1992,55,"All"
"TN",2005,2041,"All"
"TN",1996,56,"All"
"TN",2000,2674,"All"
"TN",1994,73,"All"
"TN",1998,1836,"All"
"TN",2008,1429,"All"
"TN",1993,65,"All"
"TN",2014,1260,"All"
"TN",2003,31,"All"
"TN",1997,1394,"All"
"TN",2015,612,"All"
"TN",2013,638,"All"
"FL",2007,4589,"All"
"FL",2013,2163,"All"
"FL",2014,2144,"All"
"FL",1992,4222,"All"
"FL",1996,4697,"All"
"FL",2001,4887,"All"
"FL",1995,3186,"All"
"FL",2008,3105,"All"
"FL",1998,4813,"All"
"FL",2003,2150,"All"
"FL",1994,3530,"All"
"FL",2000,6499,"All"
"FL",2004,3618,"All"
"FL",2006,5115,"All"
"FL",2010,2373,"All"
"FL",2009,3016,"All"
"FL",1993,4548,"All"
"FL",1999,5484,"All"
"FL",1997,3912,"All"
"FL",2002,3131,"All"
"FL",2012,3107,"All"
"FL",2011,5029,"All"
"FL",2005,2395,"All"
"FL",2015,2548,"All"
"LA",1994,111,"All"
"LA",2002,1481,"All"
"LA",2006,3131,"All"
"LA",1999,2788,"All"
"LA",1995,139,"All"
"LA",1993,127,"All"
"LA",2008,1438,"All"
"LA",2009,1542,"All"
"LA",2000,4234,"All"
"LA",2001,976,"All"
"LA",1992,87,"All"
"LA",1998,2283,"All"
"LA",2014,876,"All"
"LA",2012,877,"All"
"LA",2005,3384,"All"
"LA",1997,1361,"All"
"LA",2010,2419,"All"
"LA",2007,63,"All"
"LA",2011,217,"All"
"LA",1996,157,"All"
"LA",2015,1075,"All"
"LA",2003,94,"All"
"LA",2013,1075,"All"
"LA",2004,78,"All"
"MS",2009,1966,"All"
"MS",1995,4992,"All"
"MS",1996,4923,"All"
"MS",2007,2767,"All"
"MS",1998,3424,"All"
"MS",1992,4478,"All"
"MS",1993,4015,"All"
"MS",2004,2812,"All"
"MS",2010,2926,"All"
"MS",2000,7984,"All"
"MS",2006,5533,"All"
"MS",1999,5436,"All"
"MS",1997,2783,"All"
"MS",2005,3520,"All"
"MS",2003,1913,"All"
"MS",1994,3356,"All"
"MS",2001,2888,"All"
"MS",2011,1614,"All"
"MS",2013,1488,"All"
"MS",2002,2832,"All"
"MS",2012,1218,"All"
"MS",2008,2016,"All"
"MS",2015,2122,"All"
"VA",2011,813,"All"
"WV",2010,796,"All"
"WV",1997,719,"All"
"VA",1998,1168,"All"
"VA",1999,1583,"All"
"VA",2000,988,"All"
"VA",2001,2101,"All"
"VA",1992,43,"All"
"VA",2012,685,"All"
"VA",2010,1026,"All"
"VA",2008,1287,"All"
"VA",2007,1446,"All"
"VA",2005,786,"All"
"VA",1995,1550,"All"
"VA",2006,1268,"All"
"VA",1997,1133,"All"
"VA",1994,78,"All"
"VA",2003,344,"All"
"VA",2002,1572,"All"
"AR",1993,151,"All"
"OK",2003,1639,"All"
"OK",2010,2146,"All"
"OK",2005,2768,"All"
"OK",1997,914,"All"
"AR",1995,240,"All"
"OK",1992,1468,"All"
"AR",1999,2224,"All"
"OK",1999,1665,"All"
"OK",2002,1535,"All"
"AR",2000,2363,"All"
"OK",2004,1688,"All"
"AR",2015,1289,"All"
"AR",2006,2571,"All"
"AR",1997,1040,"All"
"AR",2003,1664,"All"
"AR",2005,2296,"All"
"OK",2012,1655,"All"
"OK",1996,2689,"All"
"OK",1995,2603,"All"
"OK",2011,2542,"All"
"OK",2006,3265,"All"
"OK",1998,816,"All"
"AR",2004,1364,"All"
"AR",2001,1266,"All"
"OK",2007,1334,"All"
"OK",1993,2300,"All"
"OK",2001,1290,"All"
"AR",2011,2546,"All"
"OK",2013,795,"All"
"OK",2008,2165,"All"
"AR",2002,1001,"All"
"OK",2000,1643,"All"
"AR",1998,1156,"All"
"AR",1996,224,"All"
"OK",2009,2049,"All"
"OK",1994,1913,"All"
"AR",2008,883,"All"
"AR",1992,128,"All"
"AR",1994,167,"All"
"AR",2010,2220,"All"
"AR",2014,1295,"All"
"AR",2007,1301,"All"
"OK",2015,1185,"All"
"AR",2013,847,"All"
"AR",2009,1076,"All"
"NC",2009,3319,"All"
"NC",2014,4587,"All"
"NC",1995,5253,"All"
"NC",2001,8143,"All"
"NC",2002,5590,"All"
"NC",2007,7284,"All"
"NC",2004,4343,"All"
"NC",2003,2041,"All"
"NC",2000,4987,"All"
"NC",2005,4045,"All"
"NC",1992,5696,"All"
"NC",1996,4238,"All"
"NC",2010,4100,"All"
"NC",2006,5059,"All"
"NC",1993,4808,"All"
"NC",1999,4041,"All"
"NC",1994,5739,"All"
"NC",1998,4324,"All"
"NC",2008,4382,"All"
"NC",2011,5427,"All"
"NC",2012,3559,"All"
"NC",2015,2471,"All"
"NC",2013,3329,"All"
"SC",1996,4414,"All"
"SC",1995,3520,"All"
"SC",1999,5384,"All"
"SC",2001,6225,"All"
"SC",2004,3058,"All"
"SC",1994,4489,"All"
"SC",2000,4995,"All"
"SC",2005,2704,"All"
"SC",2011,3181,"All"
"SC",2012,1971,"All"
"SC",1993,5287,"All"
"SC",2006,2855,"All"
"SC",2008,2744,"All"
"SC",1997,3070,"All"
"SC",2003,1315,"All"
"SC",2013,1626,"All"
"SC",2002,4683,"All"
"SC",1998,3508,"All"
"SC",1992,5195,"All"
"SC",2007,3998,"All"
"SC",2009,1757,"All"
"SC",2010,2144,"All"
"SC",2014,1893,"All"
"TX",2011,19453,"All"
"TX",1992,1168,"All"
"TX",2006,15022,"All"
"TX",1994,907,"All"
"TX",2002,1229,"All"
"TX",2001,771,"All"
"TX",1996,2843,"All"
"TX",1999,1775,"All"
"TX",2005,6901,"All"
"TX",2009,14142,"All"
"TX",2015,8304,"All"
"TX",2008,18067,"All"
"TX",1993,1457,"All"
"TX",2012,7623,"All"
"TX",1995,1648,"All"
"TX",1998,2026,"All"
"TX",2007,5477,"All"
"TX",2000,2627,"All"
"TX",2003,1147,"All"
"TX",2013,9735,"All"
"WI",1998,1611,"All"
"MN",1997,2528,"All"
"MN",2003,3297,"All"
"MN",2002,2039,"All"
"MN",2007,1787,"All"
"MN",1993,1363,"All"
"MN",1996,1752,"All"
"MN",2006,2507,"All"
"MN",1999,2113,"All"
"MN",1994,1904,"All"
"MN",1995,1731,"All"
"MN",2014,1006,"All"
"MN",2004,1989,"All"
"MN",1998,2474,"All"
"MN",2012,2295,"All"
"MN",2008,1165,"All"
"MN",2005,1728,"All"
"MN",2001,1327,"All"
"MN",2009,1233,"All"
"MN",2000,2631,"All"
"MI",1999,150,"All"
"MI",2001,424,"All"
"MI",2004,467,"All"
"MI",2008,444,"All"
"MI",1994,644,"All"
"MI",2003,750,"All"
"MI",2015,523,"All"
"MI",1998,170,"All"
"MI",2012,711,"All"
"MI",2013,455,"All"
"MI",2002,308,"All"
"MI",2009,486,"All"
"MI",2005,641,"All"
"MI",1997,118,"All"
"MI",2000,115,"All"
"MI",2010,584,"All"
"MI",2007,516,"All"
"MO",1994,1607,"All"
"MO",2004,307,"All"
"MO",2014,1251,"All"
"MO",2006,442,"All"
"MO",1998,521,"All"
"MO",2005,413,"All"
"MO",2003,340,"All"
"MO",2012,221,"All"
"MO",2010,196,"All"
"MO",1995,2060,"All"
"MO",1997,1314,"All"
"MO",1999,1204,"All"
"MO",1993,907,"All"
"MO",2007,523,"All"
"MO",2009,239,"All"
"MO",1996,443,"All"
"MO",1992,1680,"All"
"MO",2002,670,"All"
"MO",2000,673,"All"
"MO",2001,884,"All"
"MO",2011,740,"All"
"MO",2015,769,"All"
"MO",2013,413,"All"
"MO",2008,136,"All"
"WI",1996,1463,"All"
"WI",1992,1287,"All"
"WI",1994,1973,"All"
"IL",2001,45,"All"
"IL",2004,88,"All"
"IL",1994,27,"All"
"IL",1995,47,"All"
"IL",2011,136,"All"
"IL",2006,34,"All"
"IL",2007,99,"All"
"IL",2010,452,"All"
"IL",1999,53,"All"
"IL",2009,347,"All"
"IL",2013,44,"All"
"IL",2002,43,"All"
"IL",1997,10,"All"
"IL",1996,21,"All"
"MN",1992,1620,"All"
"IN",2000,92,"All"
"IN",2002,123,"All"
"IN",2007,127,"All"
"IN",1996,88,"All"
"IN",1995,101,"All"
"IN",2004,193,"All"
"IN",2010,73,"All"
"IN",2001,140,"All"
"IN",1992,95,"All"
"IN",1997,36,"All"
"IN",2009,45,"All"
"WI",2006,1658,"All"
"WI",2005,1565,"All"
"WI",2001,993,"All"
"OH",2001,86,"All"
"OH",2012,204,"All"
"OH",2014,612,"All"
"OH",1995,47,"All"
"OH",1992,21,"All"
"OH",1999,40,"All"
"OH",1996,9,"All"
"OH",2002,142,"All"
"OH",2000,28,"All"
"OH",1997,22,"All"
"OH",1998,27,"All"
"OH",1994,28,"All"
"OH",1993,18,"All"
"OH",2011,79,"All"
"OH",2015,537,"All"
"OH",2006,222,"All"
"OH",2013,323,"All"
"OH",2003,63,"All"
"PA",1993,19,"All"
"PA",2006,874,"All"
"PA",1998,18,"All"
"VT",1994,6,"All"
"VT",1998,2,"All"
"WV",2006,1026,"All"
"WV",2007,836,"All"
"WV",1993,847,"All"
"WV",2008,886,"All"
"AK",1998,408,"All"
"AK",2003,478,"All"
"AK",2007,513,"All"
"AK",2014,393,"All"
"AK",2008,369,"All"
"AK",2010,691,"All"
"AK",1997,721,"All"
"AK",1993,861,"All"
"AK",2009,513,"All"
"AK",2015,771,"All"
"AK",2013,592,"All"
"AK",2000,364,"All"
"AK",1992,481,"All"
"AK",2006,301,"All"
"AK",2002,538,"All"
"AK",2011,508,"All"
"AK",2001,361,"All"
"AK",2004,694,"All"
"AK",1999,482,"All"
"AK",1994,640,"All"
"AK",1996,718,"All"
"AK",1995,418,"All"
"AK",2005,619,"All"
"AK",2012,409,"All"
"NM",2011,2197,"All"
"CO",2015,591,"All"
"CO",2010,2694,"All"
"CO",2006,1316,"All"
"CO",2001,1266,"All"
"CO",2003,2422,"All"
"CO",2014,603,"All"
"CO",1999,756,"All"
"CO",1996,1405,"All"
"CT",2000,126,"All"
"CT",2002,107,"All"
"CT",1999,297,"All"
"CT",2008,366,"All"
"CT",2005,293,"All"
"CT",2001,207,"All"
"CT",1995,110,"All"
"CT",1992,202,"All"
"CT",1993,103,"All"
"CT",2004,87,"All"
"CT",1994,290,"All"
"CT",2006,372,"All"
"CT",2003,95,"All"
"CT",1996,27,"All"
"CT",2007,331,"All"
"CT",1997,83,"All"
"CT",2010,418,"All"
"CT",2011,227,"All"
"CT",2012,576,"All"
"PA",2009,633,"All"
"MD",2008,530,"All"
"DC",2006,3,"All"
"DC",1993,7,"All"
"DE",2015,16,"All"
"DE",1997,5,"All"
"DE",1992,3,"All"
"DE",2001,1,"All"
"GA",2013,3252,"All"
"GA",2011,8414,"All"
"GA",2012,4949,"All"
"GA",2015,2355,"All"
"HI",2008,769,"All"
"HI",2014,2,"All"
"IA",2012,458,"All"
"IA",2015,517,"All"
"IA",1992,5,"All"
"IA",2004,50,"All"
"IA",2005,34,"All"
"IA",2014,543,"All"
"IA",2010,199,"All"
"IA",2009,702,"All"
"IA",2013,243,"All"
"IA",2006,442,"All"
"IA",1995,6,"All"
"ID",2009,1198,"All"
"ID",2010,1150,"All"
"ID",2005,1144,"All"
"ID",2013,1566,"All"
"ID",2001,1683,"All"
"IL",1998,22,"All"
"IL",2014,227,"All"
"IL",2008,197,"All"
"IN",2011,26,"All"
"IN",2012,57,"All"
"IN",2015,16,"All"
"IN",1993,56,"All"
"KS",2006,348,"All"
"KS",1993,14,"All"
"KS",1994,47,"All"
"KS",2005,175,"All"
"KS",2007,196,"All"
"KS",2009,71,"All"
"KS",2011,56,"All"
"KS",2008,94,"All"
"KS",2014,59,"All"
"KS",2015,5887,"All"
"KS",2012,73,"All"
"KS",1999,36,"All"
"KS",2002,128,"All"
"MA",2005,30,"All"
"MA",1992,7,"All"
"MA",2015,2170,"All"
"MA",2012,5,"All"
"MA",2007,34,"All"
"MD",2013,127,"All"
"MD",2005,417,"All"
"MD",1995,32,"All"
"MD",2001,22,"All"
"MD",2004,21,"All"
"MD",2011,133,"All"
"MD",1997,19,"All"
"MD",2006,718,"All"
"MD",1999,34,"All"
"MD",1994,16,"All"
"MD",1996,17,"All"
"MD",2007,598,"All"
"MD",2009,261,"All"
"DE",2004,27,"All"
"MD",2000,14,"All"
"MD",1998,17,"All"
"MD",2012,163,"All"
"MD",2015,150,"All"
"MD",2014,123,"All"
"ME",1992,611,"All"
"ME",2007,481,"All"
"ME",1993,672,"All"
"ME",2010,505,"All"
"ME",2009,483,"All"
"ME",2005,472,"All"
"ME",2003,624,"All"
"ME",2011,365,"All"
"ME",1999,681,"All"
"ME",2000,346,"All"
"ME",1995,963,"All"
"ME",1996,315,"All"
"MI",2006,534,"All"
"MI",2014,264,"All"
"MI",1995,627,"All"
"MI",1992,614,"All"
"MI",1993,262,"All"
"MI",1996,386,"All"
"MN",2011,1235,"All"
"MN",2010,2075,"All"
"MN",2015,1838,"All"
"MN",2013,1132,"All"
"IA",2008,151,"All"
"IA",1996,28,"All"
"MS",2014,2224,"All"
"MT",2012,1854,"All"
"MT",1997,993,"All"
"MT",1995,1052,"All"
"MT",2015,1866,"All"
"MT",2001,1603,"All"
"ND",2006,1061,"All"
"ND",2002,907,"All"
"ND",1996,527,"All"
"ND",2005,903,"All"
"ND",1999,506,"All"
"ND",1992,396,"All"
"ND",1993,386,"All"
"ND",2015,1003,"All"
"ND",2008,723,"All"
"ND",2012,1098,"All"
"ND",2013,541,"All"
"ND",2011,373,"All"
"ND",2014,510,"All"
"ND",2007,865,"All"
"ND",2010,435,"All"
"ND",2000,627,"All"
"ND",2009,415,"All"
"ND",2001,553,"All"
"ND",1998,492,"All"
"ND",1994,501,"All"
"ND",2003,835,"All"
"ND",1995,272,"All"
"ND",1997,453,"All"
"SD",2003,1730,"All"
"SD",2009,984,"All"
"SD",2004,1377,"All"
"SD",2013,1022,"All"
"SD",2002,1962,"All"
"SD",2001,1338,"All"
"NE",2008,611,"All"
"NE",2007,822,"All"
"NE",2015,599,"All"
"NE",2012,1223,"All"
"NE",2010,610,"All"
"NE",2014,723,"All"
"NE",2004,169,"All"
"NE",2009,715,"All"
"NE",2011,832,"All"
"NE",2006,122,"All"
"NE",2005,177,"All"
"NE",2003,161,"All"
"NE",1994,80,"All"
"NH",2000,87,"All"
"NH",2002,116,"All"
"NH",1994,133,"All"
"NH",1995,195,"All"
"NH",1992,107,"All"
"NH",1993,142,"All"
"NH",1998,171,"All"
"NH",2001,124,"All"
"NH",2015,140,"All"
"NJ",2015,770,"All"
"NJ",2013,872,"All"
"NJ",2014,799,"All"
"NJ",2012,1029,"All"
"NJ",2011,272,"All"
"NJ",1999,1758,"All"
"NJ",2000,972,"All"
"NJ",1992,1325,"All"
"NJ",1994,1326,"All"
"NJ",1996,768,"All"
"NJ",2005,996,"All"
"NJ",1997,1383,"All"
"NJ",1993,842,"All"
"NJ",2001,1571,"All"
"NJ",2006,1352,"All"
"NJ",2002,1419,"All"
"NJ",2003,674,"All"
"NJ",1998,1312,"All"
"NJ",2004,819,"All"
"NJ",2010,1010,"All"
"NJ",1995,1817,"All"
"NJ",2007,1097,"All"
"NJ",2009,614,"All"
"NJ",2008,1152,"All"
"NM",1996,2101,"All"
"NM",1999,1231,"All"
"NV",2007,698,"All"
"NV",2003,664,"All"
"NV",2006,1049,"All"
"NV",2015,526,"All"
"NV",1999,1047,"All"
"NV",1998,638,"All"
"NV",2008,447,"All"
"NV",2000,977,"All"
"NV",2014,542,"All"
"NV",2013,657,"All"
"NV",2004,776,"All"
"NV",2001,1118,"All"
"NV",1997,595,"All"
"NV",2002,649,"All"
"NV",2011,721,"All"
"NV",2009,570,"All"
"NY",2013,2890,"All"
"NY",2002,3512,"All"
"NY",2005,7700,"All"
"NY",2012,3944,"All"
"NY",2015,5884,"All"
"NY",1992,364,"All"
"NY",2001,3262,"All"
"NY",2000,1756,"All"
"NY",1993,304,"All"
"NY",1998,310,"All"
"NY",2009,5764,"All"
"NY",1997,365,"All"
"NY",1999,711,"All"
"NY",1995,487,"All"
"NY",1994,129,"All"
"NY",2014,4358,"All"
"NY",2010,6181,"All"
"NY",1996,107,"All"
"OH",2009,244,"All"
"OK",2014,1172,"All"
"PA",1994,20,"All"
"PA",2002,628,"All"
"PA",1999,30,"All"
"PA",2007,514,"All"
"PA",2005,783,"All"
"PA",2010,583,"All"
"PA",2008,652,"All"
"PA",2004,193,"All"
"PA",2014,875,"All"
"PA",2012,724,"All"
"PA",2015,807,"All"
"PA",2011,201,"All"
"PA",1992,17,"All"
"PA",2001,35,"All"
"PR",2013,33,"All"
"PR",2007,3693,"All"
"PR",2008,17,"All"
"PR",2005,4274,"All"
"PR",2009,1690,"All"
"RI",2008,135,"All"
"RI",2011,34,"All"
"RI",2012,49,"All"
"RI",2009,47,"All"
"RI",2007,21,"All"
"RI",2006,25,"All"
"RI",2013,19,"All"
"SC",2015,1299,"All"
"SD",2014,1023,"All"
"SD",2005,1762,"All"
"SD",1994,882,"All"
"SD",1997,607,"All"
"SD",1999,1409,"All"
"SD",1995,665,"All"
"SD",1993,438,"All"
"TX",2010,9351,"All"
"TX",1997,770,"All"
"TX",2004,1040,"All"
"TX",2014,8538,"All"
"UT",2002,1143,"All"
"UT",1998,873,"All"
"UT",2014,1058,"All"
"UT",2013,1249,"All"
"UT",2004,1519,"All"
"UT",2011,1095,"All"
"UT",2015,605,"All"
"UT",2010,1056,"All"
"VA",2014,821,"All"
"VA",1996,824,"All"
"VA",2009,784,"All"
"VA",2004,301,"All"
"VA",2013,581,"All"
"WA",1997,999,"All"
"WA",2007,1304,"All"
"WA",2006,1577,"All"
"WA",2012,1428,"All"
"WA",1995,1213,"All"
"WA",2013,1378,"All"
"WA",1992,1774,"All"
"WA",2004,1591,"All"
"WA",1996,1091,"All"
"WA",2000,1226,"All"
"WA",1998,1477,"All"
"WI",2009,1578,"All"
"WI",2011,735,"All"
"WI",2014,605,"All"
"WI",2012,1380,"All"
"WI",2013,692,"All"
"WI",2000,1578,"All"
"WI",1995,1640,"All"
"WI",2007,1487,"All"
"WI",2003,2253,"All"
"WI",2010,1312,"All"
"WI",2008,813,"All"
"WI",2015,965,"All"
"WI",1993,884,"All"
"WV",2001,1789,"All"
"WV",2014,951,"All"
"WV",2000,1106,"All"
"WV",1999,1949,"All"
"WV",2003,641,"All"
"WV",2012,694,"All"
"WV",2002,1000,"All"
"WV",1995,1241,"All"
"WV",1998,1006,"All"
"WV",2005,762,"All"
"WV",1992,701,"All"
"WV",1994,1010,"All"
"WV",2011,489,"All"
"WV",1996,651,"All"
"WV",2004,618,"All"
"WV",2015,685,"All"
"WV",2013,580,"All"
"WV",2009,984,"All"
"WY",2015,632,"All"
"WY",2006,769,"All"
"WY",2011,640,"All"
"WY",1996,1032,"All"
"WY",2010,631,"All"
"WY",1999,305,"All"
"ME",2014,333,"All"
"ME",2012,560,"All"
"ME",2015,406,"All"
"ME",2013,444,"All"
"NY",2011,3740,"All"
"NY",2006,6631,"All"
"NY",2003,4934,"All"
"NY",2004,4062,"All"
"NY",2007,6319,"All"
"NY",2008,7156,"All"
"OH",2007,259,"All"
"OH",2008,116,"All"
"OH",2004,72,"All"
"PA",2003,407,"All"
"PA",2013,639,"All"
"VA",2015,597,"All"
"DE",2002,39,"All"
"IA",2002,51,"All"
"IN",2003,155,"All"
"IN",2005,173,"All"
"IN",2006,86,"All"
"KS",2004,76,"All"
"MA",2003,75,"All"
"MA",2002,115,"All"
"MA",2004,69,"All"
"PR",2014,42,"All"
"PR",2015,28,"All"
"VT",2002,6,"All"
"NC",1997,4512,"All"
"WI",2004,1161,"All"
"WI",1999,1604,"All"
"WI",1997,1675,"All"
"WI",2002,949,"All"
"CO",1998,765,"All"
"WY",1994,919,"All"
"WY",2001,672,"All"
"WY",1993,269,"All"
"WY",2003,717,"All"
"ID",1992,2195,"All"
"WY",2005,521,"All"
"WY",1992,746,"All"
"VA",1993,54,"All"
"IL",1992,18,"All"
"IN",1999,151,"All"
"CT",2009,257,"All"
